feature,mean_abs_shap
ORGANIZATION_TYPE_Industry: type 3,0.00033349352
ORGANIZATION_TYPE_Postal,0.00030188146
LIVE_REGION_NOT_WORK_REGION,0.00030033255
ORGANIZATION_TYPE_Industry: type 7,0.00028388642
OCCUPATION_TYPE_Waiters/barmen staff,0.00025266127
FLAG_CONT_MOBILE,0.00024529942
ORGANIZATION_TYPE_Legal Services,0.00021674743
ORGANIZATION_TYPE_Agriculture,0.00018830772
ORGANIZATION_TYPE_University,0.00015311663
ORGANIZATION_TYPE_Trade: type 4,0.00013383442
ORGANIZATION_TYPE_Security,0.00012021402
ORGANIZATION_TYPE_Trade: type 7,0.000115162045
FLAG_DOCUMENT_9,0.00011416278
OCCUPATION_TYPE_Secretaries,8.355767e-05
ORGANIZATION_TYPE_Transport: type 1,8.2333754e-05
ORGANIZATION_TYPE_Culture,7.70785e-05
ORGANIZATION_TYPE_Trade: type 3,7.390886e-05
NAME_INCOME_TYPE_Unemployed,6.802987e-05
ORGANIZATION_TYPE_Cleaning,6.333759e-05
FLAG_DOCUMENT_17,6.267269e-05
ORGANIZATION_TYPE_Electricity,5.45967e-05
NAME_TYPE_SUITE_Other_B,5.3504427e-05
ORGANIZATION_TYPE_Telecom,5.316784e-05
ORGANIZATION_TYPE_Mobile,4.4834367e-05
FLAG_DOCUMENT_2,3.7929334e-05
ORGANIZATION_TYPE_Trade: type 1,3.630317e-05
ORGANIZATION_TYPE_Industry: type 4,3.599792e-05
ORGANIZATION_TYPE_Industry: type 1,3.3337114e-05
ORGANIZATION_TYPE_Trade: type 5,3.2493772e-05
NAME_TYPE_SUITE_Other_A,3.244252e-05
AMT_REQ_CREDIT_BUREAU_HOUR,3.239995e-05
ORGANIZATION_TYPE_Industry: type 10,3.206531e-05
ORGANIZATION_TYPE_Emergency,2.5237608e-05
EMERGENCYSTATE_MODE_Yes,1.4864917e-05
ORGANIZATION_TYPE_Industry: type 11,1.4699164e-05
NAME_TYPE_SUITE_Group of people,1.2498616e-05
ORGANIZATION_TYPE_Insurance,1.2417992e-05
OCCUPATION_TYPE_HR staff,1.2375105e-05
ORGANIZATION_TYPE_Religion,0.0
FLAG_DOCUMENT_21,0.0
FLAG_MOBIL,0.0
ORGANIZATION_TYPE_XNA,0.0
NAME_FAMILY_STATUS_Unknown,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
IS_UNEMPLOYED,0.0
ORGANIZATION_TYPE_Industry: type 13,0.0
FLAG_DOCUMENT_10,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
OCCUPATION_TYPE_Realty agents,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_20,0.0
